Entity,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name],[VIAF ID],[VIAF URI]
http://lexbib.org/agents/person#AbelAndrea,Andrea,Abel,Andrea Abel,78313903,https://viaf.org/viaf/78313903
http://lexbib.org/agents/person#AldeaMaria,Maria,Aldea,Maria Aldea,63747550,https://viaf.org/viaf/63747550
http://lexbib.org/agents/person#AldersladeAshleigh,Ashleigh,Alderslade,Ashleigh Alderslade,,
http://lexbib.org/agents/person#AmatuzziAntonella,Antonella,Amatuzzi,Antonella Amatuzzi,,
http://lexbib.org/agents/person#AnastassiadisSymeonidisAnna,Anna,Anastassiadis-Symeonidis,Anna Anastassiadis-Symeonidis,66619176,https://viaf.org/viaf/66619176
http://lexbib.org/agents/person#ArharHoldtSpela,Špela,Arhar Holdt,Špela Arhar Holdt,305936089,https://viaf.org/viaf/305936089
http://lexbib.org/agents/person#BagoPetra,Petra,Bago,Petra Bago,305737400,https://viaf.org/viaf/305737400
http://lexbib.org/agents/person#BainesDavid,David,Baines,David Baines,,
http://lexbib.org/agents/person#BakuradzeLia,Lia,Bakuradze,Lia Bakuradze,,
http://lexbib.org/agents/person#BarbosaSilvia,Sílvia,Barbosa,Sílvia Barbosa,,
http://lexbib.org/agents/person#BarbuAnaMaria,Ana-Maria,Barbu,Ana-Maria Barbu,103433491,https://viaf.org/viaf/103433491
http://lexbib.org/agents/person#BatinicDolores,Dolores,Batinić,Dolores Batinić,"3,81615094314813E+021",https://viaf.org/viaf/3816150943148126760007
http://lexbib.org/agents/person#BattistaSimonetta,Simonetta,Battista,Simonetta Battista,"9,51491059989685E+019",https://viaf.org/viaf/95149105998968490302
http://lexbib.org/agents/person#BenkoVladimir,Vladimír,Benko,Vladimír Benko,54299720,https://viaf.org/viaf/54299720
http://lexbib.org/agents/person#BeridzeMarine,Marine,Beridze,Marine Beridze,,
http://lexbib.org/agents/person#BleickenJulian,Julian,Bleicken,Julian Bleicken,,
http://lexbib.org/agents/person#BoschettiFederico,Federico,Boschetti,Federico Boschetti,,
http://lexbib.org/agents/person#CabezasGarciaMelania,Melania,Cabezas-García,Melania Cabezas-García,,
http://lexbib.org/agents/person#ChadjipapaElina,Elina,Chadjipapa,Elina Chadjipapa,,
http://lexbib.org/agents/person#ChoiJun,Jun,Choi,Jun Choi,,
http://lexbib.org/agents/person#CibejJaka,Jaka,Čibej,Jaka Čibej,,
http://lexbib.org/agents/person#CiucciLuca,Luca,Ciucci,Luca Ciucci,232180958,https://viaf.org/viaf/232180958
http://lexbib.org/agents/person#ColmanLut,Lut,Colman,Lut Colman,288691772,https://viaf.org/viaf/288691772
http://lexbib.org/agents/person#CorreiaMargarita,Margarita,Correia,Margarita Correia,19934401,https://viaf.org/viaf/19934401
http://lexbib.org/agents/person#CreeseSharon,Sharon,Creese,Sharon Creese,,
http://lexbib.org/agents/person#DalpanagiotiThomai,Thomai,Dalpanagioti,Thomai Dalpanagioti,,
http://lexbib.org/agents/person#DeCesarisJanet,Janet,DeCesaris,Janet DeCesaris,32163364,https://viaf.org/viaf/32163364
http://lexbib.org/agents/person#DeksneDaiga,Daiga,Deksne,Daiga Deksne,,
http://lexbib.org/agents/person#DobrovoljcKaja,Kaja,Dobrovoljc,Kaja Dobrovoljc,"6,51544401750353E+019",https://viaf.org/viaf/65154440175035341964
http://lexbib.org/agents/person#DominguezVazquezMariaJose,María José,Domínguez Vázquez,María José Domínguez Vázquez,95240427,https://viaf.org/viaf/95240427
http://lexbib.org/agents/person#EfthimiouEleni,Eleni,Efthimiou,Eleni Efthimiou,276251806,https://viaf.org/viaf/276251806
http://lexbib.org/agents/person#EnikeevaEkaterina,Ekaterina,Enikeeva,Ekaterina Enikeeva,,
http://lexbib.org/agents/person#EppingerMirjam,Mirjam,Eppinger,Mirjam Eppinger,,
http://lexbib.org/agents/person#FalkeStefan,Stefan,Falke,Stefan Falke,"8,73151898605724E+020",https://viaf.org/viaf/873151898605724190007
http://lexbib.org/agents/person#FerreiraJosePedro,José Pedro,Ferreira,José Pedro Ferreira,,
http://lexbib.org/agents/person#FliatourasAsimakis,Asimakis,Fliatouras,Asimakis Fliatouras,305966646,https://viaf.org/viaf/305966646
http://lexbib.org/agents/person#FlinzCarolina,Carolina,Flinz,Carolina Flinz,317160948,https://viaf.org/viaf/317160948
http://lexbib.org/agents/person#FrankenbergGarciaAna,Ana,Frankenberg-Garcia,Ana Frankenberg-Garcia,106767947,https://viaf.org/viaf/106767947
http://lexbib.org/agents/person#FuriassiCristiano,Cristiano,Furiassi,Cristiano Furiassi,170871827,https://viaf.org/viaf/170871827
http://lexbib.org/agents/person#GalievaAlfiia,Alfiia,Galieva,Alfiia Galieva,,
http://lexbib.org/agents/person#GantarPolona,Polona,Gantar,Polona Gantar,91131332,https://viaf.org/viaf/91131332
http://lexbib.org/agents/person#GartigAnneKathrin,Anne-Kathrin,Gärtig,Anne-Kathrin Gärtig,167547941,https://viaf.org/viaf/167547941
http://lexbib.org/agents/person#GatiatullinAyrat,Ayrat,Gatiatullin,Ayrat Gatiatullin,,
http://lexbib.org/agents/person#GavriilidouZoe,Zoe,Gavriilidou,Zoe Gavriilidou,71617744,https://viaf.org/viaf/71617744
http://lexbib.org/agents/person#GiacominiLaura,Laura,Giacomini,Laura Giacomini,250180678,https://viaf.org/viaf/250180678
