Entity,Type,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name]
http://lexbib.org/agents/person#AbelAndrea,NamedIndividual,Andrea,Abel,Andrea Abel
http://lexbib.org/agents/person#AldeaMaria,NamedIndividual,Maria,Aldea,Maria Aldea
http://lexbib.org/agents/person#AldersladeAshleigh,NamedIndividual,Ashleigh,Alderslade,Ashleigh Alderslade
http://lexbib.org/agents/person#AmatuzziAntonella,NamedIndividual,Antonella,Amatuzzi,Antonella Amatuzzi
http://lexbib.org/agents/person#AnastassiadisSymeonidisAnna,NamedIndividual,Anna,Anastassiadis-Symeonidis,Anna Anastassiadis-Symeonidis
http://lexbib.org/agents/person#ArharHoldtSpela,NamedIndividual,Špela,Arhar Holdt,Špela Arhar Holdt
http://lexbib.org/agents/person#BagoPetra,NamedIndividual,Petra,Bago,Petra Bago
http://lexbib.org/agents/person#BainesDavid,NamedIndividual,David,Baines,David Baines
http://lexbib.org/agents/person#BakuradzeLia,NamedIndividual,Lia,Bakuradze,Lia Bakuradze
http://lexbib.org/agents/person#BarbosaSilvia,NamedIndividual,Sílvia,Barbosa,Sílvia Barbosa
http://lexbib.org/agents/person#BarbuAnaMaria,NamedIndividual,Ana-Maria,Barbu,Ana-Maria Barbu
http://lexbib.org/agents/person#BatinicDolores,NamedIndividual,Dolores,Batinić,Dolores Batinić
http://lexbib.org/agents/person#BattistaSimonetta,NamedIndividual,Simonetta,Battista,Simonetta Battista
http://lexbib.org/agents/person#BenkoVladimir,NamedIndividual,Vladimír,Benko,Vladimír Benko
http://lexbib.org/agents/person#BeridzeMarine,NamedIndividual,Marine,Beridze,Marine Beridze
http://lexbib.org/agents/person#BleickenJulian,NamedIndividual,Julian,Bleicken,Julian Bleicken
http://lexbib.org/agents/person#BoschettiFederico,NamedIndividual,Federico,Boschetti,Federico Boschetti
http://lexbib.org/agents/person#CabezasGarciaMelania,NamedIndividual,Melania,Cabezas-García,Melania Cabezas-García
http://lexbib.org/agents/person#ChadjipapaElina,NamedIndividual,Elina,Chadjipapa,Elina Chadjipapa
http://lexbib.org/agents/person#ChoiJun,NamedIndividual,Jun,Choi,Jun Choi
http://lexbib.org/agents/person#CibejJaka,NamedIndividual,Jaka,Čibej,Jaka Čibej
http://lexbib.org/agents/person#CiucciLuca,NamedIndividual,Luca,Ciucci,Luca Ciucci
http://lexbib.org/agents/person#ColmanLut,NamedIndividual,Lut,Colman,Lut Colman
http://lexbib.org/agents/person#CorreiaMargarita,NamedIndividual,Margarita,Correia,Margarita Correia
http://lexbib.org/agents/person#CreeseSharon,NamedIndividual,Sharon,Creese,Sharon Creese
http://lexbib.org/agents/person#DalpanagiotiThomai,NamedIndividual,Thomai,Dalpanagioti,Thomai Dalpanagioti
http://lexbib.org/agents/person#DeCesarisJanet,NamedIndividual,Janet,DeCesaris,Janet DeCesaris
http://lexbib.org/agents/person#DeksneDaiga,NamedIndividual,Daiga,Deksne,Daiga Deksne
http://lexbib.org/agents/person#DobrovoljcKaja,NamedIndividual,Kaja,Dobrovoljc,Kaja Dobrovoljc
http://lexbib.org/agents/person#DominguezVazquezMariaJose,NamedIndividual,María José,Domínguez Vázquez,María José Domínguez Vázquez
http://lexbib.org/agents/person#EfthimiouEleni,NamedIndividual,Eleni,Efthimiou,Eleni Efthimiou
http://lexbib.org/agents/person#EnikeevaEkaterina,NamedIndividual,Ekaterina,Enikeeva,Ekaterina Enikeeva
http://lexbib.org/agents/person#EppingerMirjam,NamedIndividual,Mirjam,Eppinger,Mirjam Eppinger
http://lexbib.org/agents/person#FalkeStefan,NamedIndividual,Stefan,Falke,Stefan Falke
http://lexbib.org/agents/person#FerreiraJosePedro,NamedIndividual,José Pedro,Ferreira,José Pedro Ferreira
http://lexbib.org/agents/person#FliatourasAsimakis,NamedIndividual,Asimakis,Fliatouras,Asimakis Fliatouras
http://lexbib.org/agents/person#FlinzCarolina,NamedIndividual,Carolina,Flinz,Carolina Flinz
http://lexbib.org/agents/person#FrankenbergGarciaAna,NamedIndividual,Ana,Frankenberg-Garcia,Ana Frankenberg-Garcia
http://lexbib.org/agents/person#FuriassiCristiano,NamedIndividual,Cristiano,Furiassi,Cristiano Furiassi
http://lexbib.org/agents/person#GalievaAlfiia,NamedIndividual,Alfiia,Galieva,Alfiia Galieva
http://lexbib.org/agents/person#GantarPolona,NamedIndividual,Polona,Gantar,Polona Gantar
http://lexbib.org/agents/person#GartigAnneKathrin,NamedIndividual,Anne-Kathrin,Gärtig,Anne-Kathrin Gärtig
http://lexbib.org/agents/person#GatiatullinAyrat,NamedIndividual,Ayrat,Gatiatullin,Ayrat Gatiatullin
http://lexbib.org/agents/person#GavriilidouZoe,NamedIndividual,Zoe,Gavriilidou,Zoe Gavriilidou
http://lexbib.org/agents/person#GiacominiLaura,NamedIndividual,Laura,Giacomini,Laura Giacomini
http://lexbib.org/agents/person#GilBerrozpeJuanCarlos,NamedIndividual,Juan Carlos,Gil-Berrozpe,Juan Carlos Gil-Berrozpe
http://lexbib.org/agents/person#GiunchigliaFausto,NamedIndividual,Fausto,Giunchiglia,Fausto Giunchiglia
http://lexbib.org/agents/person#GizatovaGuzel,NamedIndividual,Guzel,Gizatova,Guzel Gizatova
http://lexbib.org/agents/person#GorjancVojko,NamedIndividual,Vojko,Gorjanc,Vojko Gorjanc
http://lexbib.org/agents/person#GrangerSylviane,NamedIndividual,Sylviane,Granger,Sylviane Granger
http://lexbib.org/agents/person#GrønvikOddrun,NamedIndividual,Oddrun,Grønvik,Oddrun Grønvik
http://lexbib.org/agents/person#HamalainenMika,NamedIndividual,Mika,Hämäläinen,Mika Hämäläinen
http://lexbib.org/agents/person#HeidUlrich,NamedIndividual,Ulrich,Heid,Ulrich Heid
http://lexbib.org/agents/person#HoldtSpelaArhar,NamedIndividual,Špela Arhar,Holdt,Špela Arhar Holdt
http://lexbib.org/agents/person#HorakAles,NamedIndividual,Aleš,Horák,Aleš Horák
http://lexbib.org/agents/person#HuertasMiguelanezMercedes,NamedIndividual,Mercedes,Huertas-Migueláñez,Mercedes Huertas-Migueláñez
http://lexbib.org/agents/person#JanssenMaarten,NamedIndividual,Maarten,Janssen,Maarten Janssen
http://lexbib.org/agents/person#JohannssonEllertThor,NamedIndividual,Ellert Thor,Johannsson,Ellert Thor Johannsson
http://lexbib.org/agents/person#JonsdottirHalldora,NamedIndividual,Halldóra,Jónsdóttir,Halldóra Jónsdóttir
http://lexbib.org/agents/person#JungHaeYun,NamedIndividual,Hae-Yun,Jung,Hae-Yun Jung
http://lexbib.org/agents/person#KabashiBesim,NamedIndividual,Besim,Kabashi,Besim Kabashi
http://lexbib.org/agents/person#KallasJelena,NamedIndividual,Jelena,Kallas,Jelena Kallas
http://lexbib.org/agents/person#KardanovaBiryukovaKseniaS,NamedIndividual,Ksenia S.,Kardanova-Biryukova,Ksenia S. Kardanova-Biryukova
http://lexbib.org/agents/person#KettnerovaVaclava,NamedIndividual,Václava,Kettnerová,Václava Kettnerová
http://lexbib.org/agents/person#KhanAnasFahad,NamedIndividual,Anas Fahad,Khan,Anas Fahad Khan
http://lexbib.org/agents/person#KhokhlovaMaria,NamedIndividual,Maria,Khokhlova,Maria Khokhlova
http://lexbib.org/agents/person#KissMargit,NamedIndividual,Margit,Kiss,Margit Kiss
http://lexbib.org/agents/person#KlemencBojan,NamedIndividual,Bojan,Klemenc,Bojan Klemenc
http://lexbib.org/agents/person#KlicheFritz,NamedIndividual,Fritz,Kliche,Fritz Kliche
http://lexbib.org/agents/person#KlosaAnnette,NamedIndividual,Annette,Klosa,Annette Klosa
http://lexbib.org/agents/person#KoppelKristina,NamedIndividual,Kristina,Koppel,Kristina Koppel
http://lexbib.org/agents/person#KosemIztok,NamedIndividual,Iztok,Kosem,Iztok Kosem
http://lexbib.org/agents/person#KrekSimon,NamedIndividual,Simon,Krek,Simon Krek
http://lexbib.org/agents/person#KristinssonAriPall,NamedIndividual,Ari Páll,Kristinsson,Ari Páll Kristinsson
http://lexbib.org/agents/person#KrotovaElena,NamedIndividual,Elena,Krotova,Elena Krotova
http://lexbib.org/agents/person#KroupovaMagdalena,NamedIndividual,Magdalena,Kroupová,Magdalena Kroupová
http://lexbib.org/agents/person#KrstevCvetana,NamedIndividual,Cvetana,Krstev,Cvetana Krstev
http://lexbib.org/agents/person#KuhnTanaraZingano,NamedIndividual,Tanara Zingano,Kuhn,Tanara Zingano Kuhn
http://lexbib.org/agents/person#KøhlerSimonsenHenrik,NamedIndividual,Henrik,Køhler Simonsen,Henrik Køhler Simonsen
http://lexbib.org/agents/person#LangemetsMargit,NamedIndividual,Margit,Langemets,Margit Langemets
http://lexbib.org/agents/person#LangerGabriele,NamedIndividual,Gabriele,Langer,Gabriele Langer
http://lexbib.org/agents/person#LaskowskiCyprian,NamedIndividual,Cyprian,Laskowski,Cyprian Laskowski
http://lexbib.org/agents/person#LefkosIoannis,NamedIndividual,Ioannis,Lefkos,Ioannis Lefkos
http://lexbib.org/agents/person#LeonArauzPilar,NamedIndividual,Pilar,León-Araúz,Pilar León-Araúz
http://lexbib.org/agents/person#LeonardiNatascia,NamedIndividual,Natascia,Leonardi,Natascia Leonardi
http://lexbib.org/agents/person#LeroyerPatrick,NamedIndividual,Patrick,Leroyer,Patrick Leroyer
http://lexbib.org/agents/person#LewRobert,NamedIndividual,Robert,Lew,Robert Lew
http://lexbib.org/agents/person#LindemannDavid,NamedIndividual,David,Lindemann,David Lindemann
http://lexbib.org/agents/person#LoingsighKatieNi,NamedIndividual,Katie Ní,Loingsigh,Katie Ní Loingsigh
http://lexbib.org/agents/person#LopatkovaMarketa,NamedIndividual,Markéta,Lopatková,Markéta Lopatková
http://lexbib.org/agents/person#LungenHarald,NamedIndividual,Harald,Lüngen,Harald Lüngen
http://lexbib.org/agents/person#MajeticKlara,NamedIndividual,Klara,Majetić,Klara Majetić
http://lexbib.org/agents/person#MargalitadzeTinatin,NamedIndividual,Tinatin,Margalitadze,Tinatin Margalitadze
http://lexbib.org/agents/person#MarjanovicSasa,NamedIndividual,Saša,Marjanović,Saša Marjanović
http://lexbib.org/agents/person#MartinezWilliam,NamedIndividual,William,Martinez,William Martinez
http://lexbib.org/agents/person#MatsumotoOsamu,NamedIndividual,Osamu,Matsumoto,Osamu Matsumoto
http://lexbib.org/agents/person#MavrommatidouStavroula,NamedIndividual,Stavroula,Mavrommatidou,Stavroula Mavrommatidou
